,user,text,favorite_count,retweet_count,created_at
36,3laa7gag,@karimamd95 الكوتس بتبين ال IQ المنحدر اللى الناس وصلت ليه,0,0,2023-02-13 18:47:36+00:00
37,3laa7gag,"@Muhammadgad99 @moustafa_alaa22 الصراحه فعلا كنت مستمتع جدا وانا باسمعها لأن ضاقت معلومات كتير مرتبطة بالحياة العملية مش مجرد كلام نظرى وبس⁦♥️⁩
@moustafa_alaa22
جزاك الله خيرا يا هندسه ومنتظرين الجديد إن شاء الله",1,0,2023-02-10 18:40:53+00:00
38,3laa7gag,يا رب لك المُشتكى والمرجِع https://t.co/NlRf5dP68R,0,0,2023-02-09 13:23:51+00:00
39,3laa7gag,"وابتلاك بنعمة الأمن والسلامة من الكارثة دي يشوفك هتعمل بيها هتحمد ربنا فعلا ولا مجرد كلمه بتقولها وهتبدار بالتوبة ولا لأ؟ هتقول بلسان حالك لأ يا عم الزلازل بعيد عننا متخافش..
ربنا بيقول ( قد جائكم بصائر من ربكم فمن أبصر فلنفسه ومن عمى فعليها)
أسأل الله الهداية لى ولكم..
(٤)",0,0,2023-02-08 23:47:47+00:00
40,3laa7gag,"تخيل حالك مكان الناس دى واعرف إن ربنا ابتلاك برضه زى ما ابتلاهم..
الامام ابن تيميه بيقول ( ليس كل إنعام كرامه، ولا كل إمتحان عقوبة)
يعنى اخواننا اللى توفوا دول نحسبهم عند الله شهداء -ولا نزكى على الله أحد- ربنا ابتلاهم وابتلاك فى نفس الوقت ابتلاهم بالزلزال اللى هدم بيوتهم
(٣)",0,0,2023-02-08 23:47:45+00:00
41,3laa7gag,"تداعى لو سائر الجسد بالسهر والحمى)
يعنى من الدين إننا نستشعر حزن اخواننا ومعاناتهم وكم الابتلاء اللى مروا بيه ده.. مش معنى إننا مش قادرين نساعدهم هناك نقول بلسان المقال كده بدون أى استشعار بمصيبتهم الله يرحمهم.. دورك كده لسه ما خلصش إن لم تبكى فتباكى على الأقل 
(٢)",0,0,2023-02-08 23:47:44+00:00
42,3laa7gag,"جماعة مش شايفين إن عيب أو حتى مش من الإنسانية نفضل نقول أهلى وريال مدريد ونسف على بعض على مفيش ولسه لحد دلوقتي اخواننا فى سوريا بيستغيثوا إن لسه فيه لحد دلوقتي ضحايا كتير تحت الأنقاض؟!..
سيدنا محمد بيقول ( مثل المؤمنين فى توادهم وتراحمهم كمثل الجسد الواحد إذا اشتكى منه عضو...
(١)",2,0,2023-02-08 23:47:43+00:00
43,3laa7gag,"يا رب نشكو إليك ضعفنا وقلة حيلتنا وهواننا على الناس..

يا رب تقبل من مات من اخواننا فى سوريا وتركيا عندك من الشهداء واربط على قلوب حييهم بالصبر وعظم أجرهم واخلفهم خيراً مما أخذ منهم...",0,0,2023-02-08 18:33:30+00:00
44,3laa7gag,⁦♥️⁩🥺 https://t.co/kufoL7UNoW,1,0,2023-02-08 18:17:38+00:00
45,3laa7gag,"إنا لله وإنا إليه راجعون، نتذكر إخواننا في سوريا وتركيا وكل المناطق المنكوبة بالدعاء. 
اللهم خفف عن إخواننا مصابهم، وتقبل قتلاهم في الشهداء. اللهم آجرهم في مصيبتهم. 
#زلزال_تركيا_سوريا",0,0,2023-02-06 15:17:58+00:00
